id,college_whynot,college_excited,college_challenge,gender_cat,so_cat,race_assn,parent_edu,primary_english,where_college
R_22K762nrYdznNhP,,HAVING THE OPPORTUNITY TO GET TWO YEARS FOR FREE,DOING THE WORK,prefer not to say,asexual/aromantic/demisexual,Hispanic/Latinx,Don't know,No,California Community College (CCC)
R_2CPSMsRb9pE1LzD,,I WILL MAKE MY FUTURE,ECONOMIC CHALLENGES,cis man,straight/heterosexual ,Hispanic/Latinx,Did not complete high school,No,California Community College (CCC)
R_2wjluueXJloVyAz,,THE PEOPLE AND THE GYM,CLASS,cis man,straight/heterosexual ,Hispanic/Latinx,Don't know,No,California State University (CSU)
R_12Rc56hOq8MQYJ1,,"GOING TO UCLA TO PURSUE COMMUNICATIONS/WITH A MINOR IN ARABIC BECAUSE I WANT TO MAKE A DIFFERENCE IN MY COMMUNITY, SO THAT I CAN SET AN EXAMPLE FOR MY FAMILY.",NOT HAVING ENOUGH AID AND ACADEMIC SUPPORT,cis man,straight/heterosexual ,Asian,High school diploma,Yes,California Community College (CCC)
R_RKqTg9VTelhkFgJ,,BEING TAKEN OUT OF MY COMFORT ZONE AND BEING FORCED TO INTERACT WITH AND MEET NEW PEOPLE.,MEETING NEW PEOPLE THAT I CAN BE GOOD FRIENDS WITH.,cis man,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,California State University (CSU)
R_8815QfEvrrIYCtz,,CHOOSING WHAT I WANT TO LEARN.,THE ACADEMIC RIGOR OF MY PARTICULAR INSTITUTION.,cis woman,bisexual/pansexual/omnisexual,Hispanic/Latinx,"Some college, no college degree",Yes,Private four-year college/university in California
R_2RWVGoo6dnRhkXL,,"I AM THE MOST EXCITED ABOUT STUDYING FOR MY DREAM CAREER, KNOWING THE SCHOOL, TAKING NEW CLASSES AND COURSES, AND KNOWING PEOPLE WITH THE SAM3 TASTES THAT ME.","SOCIALIZING WAS ALWAYS BEEN MY BIGGEST CHALLENGE SINCE I CHANGE IN HIGH SCHOOL, BUT MAYBE THAT COULD CHANGE IN COLLEGE, SO I WOULD SAY THAT MAYBE TAKING NEW COURSES DIFFERENT THAN I USED TO KNOW.",cis woman,straight/heterosexual ,Hispanic/Latinx,High school diploma,No,"Vocational, technical, or career college in California"
R_Y2XU9vOs9Zzs2iJ,,LIVE INDEPENDENTLY AND WITH FRIENDS.,BALANCING ACADEMIC WORK LOAD AND SOCIAL LIFE.,cis man,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,California State University (CSU)
R_Z3IZgc3qPGhHvAl,,MEETING NEW PEOPLE AND LIVING ON MY OWN.,BEING FAR AWAY FROM HOME AND NOT BEING ABLE TO FALL BACK ON MY PARENTS WHEN THINGS GET ROUGH.,cis man,straight/heterosexual ,White/Non-Hispanic,Bachelor's degree,Yes,College outside of California
R_2ATrU1A9Ms9CB9G,,I’M MOST EXCITED ABOUT LEARNING ABOUT THINGS THAT ACTUALLY INTEREST ME AND WILL PREPARE ME FOR MY CAREER GOALS.,"MY BIGGEST CHALLENGE WILL BE GETTING USED TO COLLEGE ITSELF, BEING AWAY FROM HOME, AND THE FINANCIAL ASPECT OF COLLEGE.",cis woman,straight/heterosexual ,Hispanic/Latinx,"Some college, no college degree",No,University of California (UC)
R_297jgXyRPCRQUoO,,MEETING NEW PEOPLE AND GETTING A FEEL FOR LIVING INDEPENDENTLY AS WELL AS LEARNING TO BETTER BALANCE SCHOOL WORK AND A SOCIAL LIFE,POSSIBLY MAINTAINING RELATIONSHIPS OR STAYING COMMITTED TO A CERTAIN RESPONSIBILITY LIKE A JOB OR CLUB OR SPORTS TEAM,cis man,straight/heterosexual ,White/Non-Hispanic,Bachelor's degree,Yes,California State University (CSU)
R_2dA4xtOIrxiQ48Q,,"I AM EXCITED TO GO TO COLLEGE, BECAUSE I WILL BE THE FIRST GENERATION TO ATTEND, SO TO ME IT SIGNIFIES A TRIUMPH OVER MY CIRCUMSTANCES, AS THE POVERTY THAT PREVENTED MY FAMILY FROM ATTENDING COULD NOT HOLD ME BACK. I AM ALSO EXCITED TO ATTEND COLLEGE, BECAUSE I WILL BE ABLE TO PURSUE MY INTERESTS AND MEET NEW PEOPLE.","THE BIGGEST CHALLENGE I WILL FACE IN COLLEGE IS PAYING FOR THE EXPENSES AND TUITION, AS MY FAMILY IS STRUGGLING FINANCIALLY. IT IS UNCERTAIN WHETHER I WILL BE ABLE TO AFFORD THE ENTIRE 2 YEARS AT THE COMMUNITY COLLEGE AND WHETHER I CAN AFFORD MY LAST TWO YEARS AT A CAL STATE ONCE I TRANSFER.",cis woman,prefer not to say,Hispanic/Latinx,Did not complete high school,No,California Community College (CCC)
R_2E5gZKir3WQozFF,,MEETING NEW PEOPLE AND GAINING INDEPENDENCE,SCHOOLWORK AND MONEY,cis man,prefer not to say,Asian,Associate degree,No,University of California (UC)
R_2xxw7ivUMJ8yDUT,,MEETING DRIVEN PEERS,MAINTAINING SELF-DISCIPLINE TO FOLLOW THROUGH ON DEADLINES,cis woman,bisexual/pansexual/omnisexual,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_2EyiNbWRFPJQ8ie,,MEETING DIFFERENT PEOPLE WITH COMMON GOALS AND ALSO LEARNING NEW THINGS THAT CHALLENGE ME.,ORGANIZATION OF TIME,cis man,straight/heterosexual ,Hispanic/Latinx,Bachelor's degree,No,California State University (CSU)
R_12rPtw9gIFVuqOe,,GETTING MY BS DEGREE.,"MY FINANCIAL EXPENSES, BALANCING WORK AND STUDYING, AND MY MENTAL HEALTH.",cis woman,straight/heterosexual ,Filipino,Bachelor's degree,No,California Community College (CCC)
R_30k1LUMfBjsu8zL,,I’M MOST EXCITED TO GETTING THE LEARNING EXPERIENCE AND BE ABLE TO HAVE THE KNOWLEDGE ON HOW TO GROW ON THE BUSINESS SIDE OF THE WORLD. BUT I AM NERVOUS ON BEING IN DUAL ENROLLMENT IN THE NEXT FALL,I THINK THE BIGGEST CHALLENGE WILL BE IN A DUAL ENROLLMENT DOING TWO SCHOOLS AT ONCE BUT THEY WILL BOTH BENEFIT MY CAREER,cis woman,bisexual/pansexual/omnisexual,Asian,"Some college, no college degree",Yes,"Vocational, technical, or career college in California"
R_2zpXcRkx1pmi5mp,,STARTING MY CAREER PATH AND BEING PUT IN A NEW WORLD,PERSEVERING THROUGH HARD TIMES.,cis woman,bisexual/pansexual/omnisexual,Hispanic/Latinx,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,California State University (CSU)
R_XXK6fUCjLQb8n3X,,I REALLY STARTED HAVING AN INTEREST IN MUSIC AND MORE SPECIFICALLY MUSIC PRODUCTION. I AM EXCITED TO LEARN MORE ABOUT IT IN A TRADITIONAL ENVIRONMENT AND BE SURROUNDED BY OTHERS WHO ARE ALSO INTERESTED IN IT AND THAT I CAN LEARN FROM.,I THINK THE BIGGEST CHALLENGE I WILL FACE IN COLLEGE IS NOT GETTING OVERWHELMED BY MY GOALS. I AM TRYING TO GET A AA AND MULTIPLE CERTIFICATES IN MY TIME IN COMMUNITY COLLEGE THEREFORE AVOIDING GETTING OVERWHELMED WILL BE A CHALLENGE.,cis man,bisexual/pansexual/omnisexual,Hispanic/Latinx,Bachelor's degree,No,California Community College (CCC)
R_2ymHj3MCVaT1VGL,,GETTING OUT OF THE HOUSE,GRADES,cis man,straight/heterosexual ,American Indian/Alaskan Native,Bachelor's degree,Yes,College outside of California
R_4ObfB73mwth018t,,MEETING NEW PEOPLE AND BEING ON MY OWN,ACADEMICS,cis woman,straight/heterosexual ,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",No,University of California (UC)
R_3lSO1XtgwCEDzYb,,PARTICIPATING IN D1 ATHLETICS AND MEETING AND MAKING NEW FRIENDS. I AM ALSO LOOKING FORWARD TO PARTICIPATING IN THE TRADITIONS OF MY UNIVERSITY COMMUNITY.,TIME MANAGEMENT WILL BE MY BIGGEST CHALLENGE.,cis woman,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,College outside of California
R_11553e1inMGunTl,,JUST BEING ABLE TO START ON A NEW LEAF. JUST A LITTLE FAR FROM HOME,"PAYING ATTENTION, NOT STRESSING OVER MONEY",cis woman,bisexual/pansexual/omnisexual,Hispanic/Latinx,Did not complete high school,No,Private four-year college/university in California
R_2EaTDU5KCVWjt2d,,"AN OPPORTUNITY TO SEE HOW I SHOW UP, INDEPENDENT OF THE SUPPORT SYSTEM I HAVE HAD MY WHOLE LIFE. AND AN OPPORTUNITY TO FURTHER STUDY TOPICS I AM INTERESTED IN, AND MAKE BRAND NEW FRIENDS.",ADJUSTING TO THE MOVE AWAY FROM FAMILY.,cis woman,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_2z6KXF0BdZJaVI7,,N/A,N/A,cis woman,straight/heterosexual ,Hispanic/Latinx,Did not complete high school,No,California State University (CSU)
R_3M5VwA7OKfwIbww,,NEW EXPERIENCES,MONEY HARDSHIPS,cis man,bisexual/pansexual/omnisexual,Hispanic/Latinx,Did not complete high school,No,California Community College (CCC)
R_1LimzW3uCuIV4pb,,"THE CLASSES. I’VE LOOKED UP MY TEACHERS ON A WEBSITE THAT ALLOWS YOU TO SEE PAST STUDENTS EXPERIENCES, AND ALL MY TEACHERS SEEM TO HAVE A GOOD RELATIONSHIP WITH THEIR STUDENTS. SO I HOPE IT MAKES IT EASIER FOR ME TO LEARN, AND STAY INTERESTED.","PRE-CALC. I’VE HEARD SO MANY PEOPLE TALK THE WORSE ABOUT THE CLASS IN GENERAL, SO I HOPE IT ISN’T ALL THAT BAD THAT PEOPLE MAKE IT OUT TO BE.",cis woman,other/queer/questioning,Hispanic/Latinx,High school diploma,No,California Community College (CCC)
R_W8lXYXpqIMw9lTz,,MEETING NEW PEOPLE!,DEFINITELY ACADEMIC BALENCE AND WORK/HOME BALENCE,cis man,gay or lesbian,Hispanic/Latinx,High school diploma,No,California Community College (CCC)
R_Z93tQ0vO1eHiXVD,,I’M EXCITED TO LEARN NEW THINGS IN MY FIELD AND DISCOVER CAREER OPTIONS FOR MYSELF. I’M ALSO EXCITED TO MEET NEW PEOPLE AND FIND NEW COMMUNITIES.,"I THINK THE BIGGEST CHALLENGE I’LL FACE IS ACCEPTING FAILURE AND LEARNING FROM IT WELL. I’VE ALWAYS BEEN VERY GOOD AT MY ACADEMICS. THE COLLEGE ACADEMIC SCENE, I HOPE, WILL BE MORE CHALLENGING.",cis man,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_ZwAyQNl5SphDA0V,,MEET NEW FRIENDS AND EXPERIENCE THE “REAL” WORLD. ALSO GET A SENSE OF INDEPENDENCE,I’M SCARED ABOUT THE ACADEMIC PORTION AND ALSO BEING FAR FROM HOME,cis woman,straight/heterosexual ,Hispanic/Latinx,Associate degree,Yes,College outside of California
R_1K8bU3MBETb2OIE,,"INDEPENDENCE, STUDENT-RUN EVENTS, AND GETTING TO ENROLL IN INTERESTING CLASSES.",FINDING A WORK ETHIC THAT’LL SUIT FOR COLLEGE AND MOTIVATION TO GO TO CLASS.,gender diverse/questioning,other/queer/questioning,Hispanic/Latinx,High school diploma,No,University of California (UC)
R_x4vPUnkRFo94GaZ,,CHANGE MYSELF. PARTICIPATE IN MORE ACTIVITIES,FINDING CLINICAL EXPERIMENT; BALANCING ACTIVITIES AND SCHOOL WORK.,cis woman,straight/heterosexual ,Asian,High school diploma,Yes,University of California (UC)
R_2fR9qgh30iL7OjD,,GRADUATING,MOTIVATION,cis man,straight/heterosexual ,Asian,Bachelor's degree,Yes,California Community College (CCC)
R_PFKG9c8BcNoipwd,,I’M PROUD TO BE CONTINUING MY EDUCATION AND EXCITED FOR THE OUTCOMES.,THE DIFFICULTY OF MY CLASSES AND MANAGING THEM BETWEEN OTHER THINGS.,cis woman,prefer not to say,White/Non-Hispanic,Bachelor's degree,No,California Community College (CCC)
R_2OPxPLpDmPZTcVH,,"I AM EXCITED FOR THE EXPERIENCE OVERALL. MEETING NEW PEOPLE, LIVING ALONE AWAY FROM HOME FOR THE FIRST TIME AND EVERYTHING ELSE THAT COMES WITH COLLEGE.",HAVING TO DO IT WITHOUT MY PARENTS BEING RIGHT BY MY SIDE.,cis woman,prefer not to say,White/Non-Hispanic,Don't know,Yes,California State University (CSU)
R_2dnXnTafLDg7ItI,,"LEAVING HOME, DOING BETTER THAN I DID IN HIGH SCHOOL, AND EXPANDING TO NEW HORIZONS.","THE BIGGEST CHALLENGE IS CONSISTENTLY AND CONFIDENTLY BEING ABLE TO COMPLETE ASSIGNMENTS, TESTS, AND OTHER ACTIVITIES. FINDING A BALANCE, AND SAYING NO TO THINGS I WOULD RATHER DO OVER ACCOMPLISHING STUDIES.",cis woman,straight/heterosexual ,White/Non-Hispanic,"Some college, no college degree",Yes,College outside of California
R_usk8loQKTWCUQeJ,,MEETING NEW PEOPLE AND HAVING NEW EXPERIENCES AND INDEPENDENCE.,MAINTAINING/MANAGING MY TIME WELL.,cis woman,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_2f1X71ZNOBov1S2,,"LEARNING NEW THINGS, MAKING FRIENDSHIPS, AND TRYING NEW ACTIVITIES.",MAINTAINING RELATIONSHIPS AND MAKING MEANINGFUL FRIENDSHIPS,cis woman,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,College outside of California
R_Z4QL86GZwA5GW6B,,"MEETING NEW PEOPLE, GOOD ACADEMICS, BEING MORE INDEPENDENT, STUDYING SOMETHING I LOVE.",BALANCING EVERYTHING I WANT TO DO.,cis woman,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_1f2Y135nEcvJY3q,,"MY CHOSEN MAJOR OFFERS A COURSE FOCUSED ON FOOD CREATION AND FOLLOWING THE PROFESSIONAL STANDARD, VERY EXCITED FOR COOKING. ALSO HEARD A RUMOR THAT A DISNEY INTERNSHIP WAS POSSIBLY OFFERED AS WELL, SO I HOPE IT'S TRUE.","PROBABLY MY WORK HABIT, BALANCING MY SCHEDULE AND PERSONAL TIME. I TEND TO PROCRASTINATE A LOT AND GIVE UP TOO FAST. I'M ATTENDING A POLYTECHNIC SCHOOL THOUGH, SO HOPEFULLY IT'LL FORCE ME TO BE MORE ASSERTIVE SINCE THEIR MOTTO IS 'LEARN BY DOING'.",cis woman,prefer not to say,Asian,Bachelor's degree,Yes,California State University (CSU)
R_1OBJGRbTB13MJlp,,GETTING TO STUDY MORE DEEPLY ABOUT THE THINGS I AM INTERESTED IN AND LIVING ON MY OWN.,ACADEMICAL HARDSHIPS(MANAGING GPA),cis man,straight/heterosexual ,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",No,College outside of California
R_2yqjgBq7o312qMI,,I’M MOST EXCITED ABOUT FURTHERING MY EDUCATION AND THE CHANGE IN ENVIRONMENT I’LL HAVE BECAUSE I’LL ACTUALLY BE ON MY OWN.,"I THINK THE BIGGEST CHALLENGE I’LL FACE IS THE COLLEGE SYSTEM AND BEING RESPONSIBLE FOR MYSELF. I HAVE ZERO CLUE HOW ANYTHING WORKS AS I AM FIRST-GENERATION. SO I AM UNSURE OF HOW TO REGISTER FOR CLASSES, WHO I CONTACT WHEN I AM UNAWARE OF HOW TO DO SOMETHING OR WHERE TO GO. I KNOW MY TEACHERS AND OTHER PEOPLE IN AUTHORITY ARE GOING TO REMIND ME THAT I AM RESPONSIBLE FOR MYSELF AND THEY CANNOT MICROMANAGE ME BUT HOW AM I SUPPOSED TO ASK FOR HELP IF I DON’T UNDERSTAND WHO OR WHAT I AM ASKING?",nonbinary,bisexual/pansexual/omnisexual,Hispanic/Latinx,"Some college, no college degree",Yes,California State University (CSU)
R_2Ez6yKdqx35mfSh,,MEETING NEW PEOPL,THE AMOUNT OF STUFF YOU HAVE TO DO IN COLLEGE,cis man,straight/heterosexual ,White/Non-Hispanic,Don't know,Yes,California State University (CSU)
R_qzv7Y9OKrLsI3C1,,"FINALLY APPLYING ALL I’VE LEARNED SO FAR, LEARNING TO REALLY TAKE CARE OF MYSELF AND EXPERIENCE MORE!","BEING SO FAR FROM MY FAMILY, I’M USED TO SEEING THEM EVERYDAY AND SOON I’LL BE 6 HOURS AWAY.",cis woman,bisexual/pansexual/omnisexual,Hispanic/Latinx,"Some college, no college degree",Yes,University of California (UC)
R_3JENVmwtcRl4L2B,,"INDEPENDENCE: COLLEGE OFTEN REPRESENTS A NEW LEVEL OF INDEPENDENCE, AS STUDENTS HAVE MORE CONTROL OVER THEIR SCHEDULES, LIFESTYLE CHOICES, AND DECISION-MAKING. HIGHER EDUCATION: COLLEGE IS AN OPPORTUNITY TO DELVE DEEPER INTO SUBJECTS OF INTEREST AND PURSUE A SPECIALIZED FIELD OF STUDY. IT OFFERS A CHANCE TO GAIN KNOWLEDGE, DEVELOP CRITICAL THINKING SKILLS, AND EXPLORE INTELLECTUAL CURIOSITIES. DIVERSE LEARNING EXPERIENCES: COLLEGE PROVIDES A VARIETY OF LEARNING EXPERIENCES BEYOND TRADITIONAL CLASSROOM LECTURES. THIS INCLUDES PRACTICAL HANDS-ON EXPERIENCES, RESEARCH OPPORTUNITIES, INTERNSHIPS, AND EXPOSURE TO DIVERSE PERSPECTIVES THROUGH INTERACTIONS WITH FELLOW STUDENTS AND FACULTY MEMBERS. SOCIAL CONNECTIONS: COLLEGE OFFERS A VIBRANT SOCIAL ENVIRONMENT, ALLOWING STUDENTS TO MEET PEOPLE FROM DIVERSE BACKGROUNDS, CULTURES, AND INTERESTS. IT'S A CHANCE TO FORM LIFELONG FRIENDSHIPS, ENGAGE IN CLUBS AND ORGANIZATIONS, AND BUILD A PROFESSIONAL NETWORK. PERSONAL GROWTH: COLLEGE IS A TRANSFORMATIVE PERIOD WHERE INDIVIDUALS OFTEN GAIN INDEPENDENCE, DEVELOP SELF-DISCIPLINE, IMPROVE TIME MANAGEMENT SKILLS, AND LEARN TO BALANCE VARIOUS RESPONSIBILITIES. IT CAN BE A TIME FOR PERSONAL GROWTH AND SELF-DISCOVERY. CAMPUS ACTIVITIES AND EVENTS: COLLEGES OFTEN HOST A WIDE RANGE OF EXTRACURRICULAR ACTIVITIES",ACADEMICS,cis man,straight/heterosexual ,White/Non-Hispanic,Bachelor's degree,Yes,California State University (CSU)
R_1hLRo062KIyMp6e,,HAVING A GOOD TIME AND LEARNING AS IT WILL HELP ME ACHIEVE MY GOALS AND MEETING PEOPLE.,IT WOULD PROBABLY BE AFFORDABILITY AND HOUSING AS TO COST OF TUITION TO ATTEND AND PAY LOANS.,cis woman,straight/heterosexual ,Hispanic/Latinx,Don't know,No,California State University (CSU)
R_Cf2UjXbtNLlGdH3,,IM MOST EXCITED TO TRY NEW THINGS AND MEET NEW PEOPLE.,"MY SOCIAL NERVOUSNESS AND SHYNESS, NOT BEING ABLE TO COME OUT OF MY SHELL AS MUCH AS I WOULD WANT TOO. ALSO TOUGH CLASSES",cis man,straight/heterosexual ,White/Non-Hispanic,Bachelor's degree,Yes,University of California (UC)
R_2OItoGv3IfGYkFh,,I AM CURRENTLY ON WAITLISTS/WAITING ON APPEALS BUT IF I EVENTUALLY DO GET INTO THE COLLEGES I WISH THEN I AM MOST LOOKING FORWARD TO SEEING THE HIGHER EDUCATION IN THE TOPICS I AM INTERESTED IN.,I BELIEVE I WILL NOT FACE ANY OVERPOWERING CHALLENGES IN COLLEGE.,cis man,bisexual/pansexual/omnisexual,Hispanic/Latinx,High school diploma,No,University of California (UC)
R_1IRgy8lHFvrPNbE,,EDUCATION AND THE OVERALL EXPERIENCE,FUNDING AT HIGHER LEVELS IF I CAN’T GET EMPLOYED,cis man,bisexual/pansexual/omnisexual,Pacific Islander,"Some college, no college degree",Yes,University of California (UC)
R_1rNPra5Kgg2nfbn,,INTERNSHIPS,TIME MANAGEMENT,cis man,straight/heterosexual ,White/Non-Hispanic,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,College outside of California
R_1jxnMU92QzLHiaT,,MEETING NEW PEOPLE IN CLASSES AND CLUBS AND LEARNING NEW MATERIAL,ADJUSTING TO THE QUARTER SYSTEM SINCE I AM COMING FROM A SEMESTER SYSTEM CURRENTLY,cis woman,straight/heterosexual ,Asian,Bachelor's degree,Yes,University of California (UC)
R_r1MWihSOp9QIq0p,,MEETING NEW PEOPLE AND STARTING OVER IN A NEW STATE.,THE ADJUSTMENT FROM CALIFORNIA LIVING TO ARIZONA LIVING.,cis man,straight/heterosexual ,Hispanic/Latinx,Bachelor's degree,Yes,College outside of California
R_0k4ovmu6t2KtedH,,NETWORKING AND BUILDING TOWARDS MY FUTURE,BEING AWAY FROM MY FAMILY,cis woman,straight/heterosexual ,Black/African American,High school diploma,Yes,College outside of California
R_2zoutTLRDhALrAD,,"NEW ACADEMIC OPPORTUNITIES, MEETING NEW PEOPLE, NEW MEMORIES, NEW EXPERIENCES",ACADEMIC STRESS AND COMPETITION,cis man,straight/heterosexual ,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,College outside of California
R_2EmA0wZstnIBGFp,,"TAKING INTERESTING CLASSES, LIVING AT SCHOOL, MEETING NEW PEOPLE",EXTREMELY DIFFICULT COURSEWORK,cis woman,prefer not to say,Asian,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",No,College outside of California
R_2awtTiTbtVOGZ8F,,I AM EXCITED TO MEET NEW PEOPLE AND LEARN MORE ABOUT THE NEW COMMUNITY WHICH I AM SURROUNDED.,DEALING WITH STRESS WHILE BEING ON MY OWN.,cis woman,straight/heterosexual ,White/Non-Hispanic,Bachelor's degree,Yes,University of California (UC)
R_RLkJxih4uGElFYZ,,"BEING ON MY OWN AND TAKING THAT LEAP INTO INDEPENDENCE. ALSO, GETTING OPPORTUNITIES TO EXPAND MY LEARNING BEYOND JUST IN CLASSROOM SETTINGS THROUGH INTERNSHIPS AND RESEARCH THAT MIGHT HELP ME NARROW IN ON MY CAREER.",FITTING IN WITH THE SOCIAL SCENE WHILE BALANCING A WHOLE DIFFERENT LIST OF RESPONSIBILITIES THAT I'M NOT USED TO.,nonbinary,prefer not to say,Asian,Bachelor's degree,No,University of California (UC)
R_1Lomxe4YvzuKUry,,SEEING WHERE MY FRIENDS GO. IM NOT REALLY EXCITED ABOUT MY OWN LIFE.,COMMUTING AN HOUR EACH DAY AND BEING AWAY FROM THE PEOPLE I GREW UP WITH,cis man,gay or lesbian,Filipino,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,University of California (UC)
R_3eaYhxvGmF91O1b,,"TAKING CLASSES THAT WILL PREPARE ME FOR ""REAL"" ADULTHOOD AND FORMING STEADFAST FRIENDSHIPS","BEING FULLY INDEPENDENT: TIME MANAGEMENT, BUDGETING, ANYTHING FINANCIAL, RIGOROUS ACADEMIC SETTING",cis woman,bisexual/pansexual/omnisexual,Hispanic/Latinx,Bachelor's degree,Yes,California State University (CSU)
R_2WSY8bDB74fvvW4,,"I’M MOST EXCITED ABOUT MEETING WITH DIFFERENT TILES OF PEOPLE FROM ALL BACKGROUNDS. AS WELL AS ENGAGE IN SCHOOL ACTIVITIES, DOING COMMUNITY WORK , OFFICE HOURS, SORORITIES, AND VOLUNTEERING.","THE BIGGEST CHALLENGE I THINK I’LL FACE IS THE CULTURE SHOCK , GROWING UP OUTSIDE OF THE UNITED STATES MADE MY JOURNEY ON WANTING TO GO TO A UC MORE DIFFICULT FOR ME AND MY FAMILY. I HAD TO EXPERIENCE DISCRIMINATION MANY TIMES BECAUSE I WAST ACCOSTED TO THE MODERN CULTURE.",cis woman,straight/heterosexual ,Hispanic/Latinx,Did not complete high school,No,University of California (UC)
R_3PHNImN2NjCbpYB,,"MOVING 3,000 MILES AND LEAVING EVERYTHING BEHIND.",TIME MANAGEMENT,cis man,straight/heterosexual ,White/Non-Hispanic,"Some college, no college degree",Yes,College outside of California
R_22Fdx54lth82SXi,,TO LEARN ABOUT MY PASSIONS AND TALENTS,MONEY ISSUES,cis woman,bisexual/pansexual/omnisexual,Hispanic/Latinx,"Graduate/Professional degree beyond Bachelor's degree (Master's, PhD, JD, MD, etc.)",Yes,California State University (CSU)
R_1O1Ma2pUTA9IbVn,,"I'M EXCITED THE MOST ABOUT LEARNING STUFF THAT WILL HELP ME IN MY FUTURE CAREER. ALSO, JUST TRYING TO LIVE AND TRYING TO BE MORE MATURE IN ASSIGNMENTS AND PROBLEMS.",MOST LIKELY MY ISSUES WITH MY MENTAL HEALTH ISSUES SINCE I CAN LOSE CONCENTRATION VERY EASILY AND SOMETIMES IT IS HARD FOR ME TO COMPLETE ASSIGNMENTS WHEN MY MENTAL HEALTH PROBLEMS GET REALLY BAD AT TIMES.,cis woman,bisexual/pansexual/omnisexual,Hispanic/Latinx,Did not complete high school,No,California Community College (CCC)
R_1gLymhS8m8xzSTS,,"IM THE MOST EXCITED ABOUT LEARNING NEW THINGS, BEING IN A NEW ENVIRONMENT AND MEETING NEW PEOPLE.",I THINK THE BIGGEST CHALLENGE I'LL FACE IN COLLEGE IS PERFORMING ACADEMICALLY WELL.,gender diverse/questioning,bisexual/pansexual/omnisexual,Black/African American,Did not complete high school,No,California State University (CSU)
R_2SqOLrSLzW568es,,GOING INTO A NEW ENVIRONMENT WHERE I CAN BE MYSELF AND LEARN NEW WAYS TO FIND OUT WHO I REALLY AM AS A PERSON. I FEEL EXCITED ABOUT MEETING NEW PEOPLE INTO THE FIELD I AM MOST INTERESTED IN AND THE PROFESSORS THAT WILL HELP ME ALONG THE WAY.,THE BIGGEST CHALLENGE I THINK I WILL FACE IN COLLEGE IS SEEKING FOR HELP BECAUSE I AM TIMID BUT I WILL HAVE TO FIND A WAY TO HELP MYSELF BY ASKING. SOMETHING ELSE THAT WILL CHALLENGE ME IN COLLEGE IS THE WORK LOAD ALTHOUGH AS THE TIME PASSES ILL BE ABLE TO GET INTO THE ROUTINE IT’S SOMETHING THAT I THINK I WILL FACE.,cis woman,straight/heterosexual ,Hispanic/Latinx,Did not complete high school,No,University of California (UC)
R_2yqLeOpE9x1yDdE,,I AM EXCITED TO MEET NEW PEOPLE AND HAVE THE OPPORTUNITIES TO TRANSFER TO ANOTHER UNIVERSITY AND TO LEARN NEW THINGS.,I BELIEVE THAT TRANSITION AND SOCIALIZATION MIGHT BE THE BIGGEST CHALLENGES FOR ME SINCE I HAV TROUBLE INTERACTING WITH OTHER PEOPLE AND THE ENVIRONMENT MIGHT BE DIFFERENT WHEN I TRANSFER.,cis man,straight/heterosexual ,Hispanic/Latinx,"Some college, no college degree",No,California State University (CSU)
R_6rpHuE5gT7SfGNP,,I’M EXCITED TO EXPERIENCE LIFE IN A BRAND-NEW CITY!,BALANCING MY WORK WITHOUT THE GUIDANCE OF MY PARENTS.,cis woman,gay or lesbian,White/Non-Hispanic,"Some college, no college degree",Yes,University of California (UC)
